(3, 10)
(3, 11)
(3, 12)
(3, 13)
(3, 15)
(3, 25)
(3, 26)
(3, 29)
(3, 31)
(3, 36)
(3, 37)
(3, 38)
(3, 39)
(3, 40)
(3, 41)
(3, 47)
(3, 42)
(3, 53)
(3, 63)
(3, 62)
(3, 64)
(3, 65)
(3, 70)
(3, 72)
(3, 73)
(3, 74)
(3, 81)
(3, 84)
(3, 90)
(3, 2)
(3, 5)
(3, 8)
(3, 91)
(3, 92)
(3, 93)
(3, 94)
(3, 95)
(3, 97)
(3, 98)
(3, 99)
(3, 100)
(3, 101)
(3, 104)
(3, 106)
(3, 107)
(3, 108)
(3, 110)
(3, 111)
(3, 112)
(3, 116)
(3, 118)
(3, 121)
(3, 124)
(3, 125)
(3, 128)
(3, 134)
(3, 140)
(3, 145)
(3, 146)
(3, 147)
(3, 148)
(3, 149)
(3, 150)
(3, 152)
(3, 153)
(3, 158)
(3, 159)
(3, 160)
